,Mass,Radius,Luminosity,Pressure,Temperature,Density,epsilon,nabla,"radiative=1, convetice=0"
19,7.558477235430266e+30,2761436101.2896605,2.4858641818255552e+32,1.8143381960054797e+17,15845099.21803049,84.7167709943134,31.12830811161284,0.4,1.0
20,7.956291814210323e+30,2809767001.807038,2.6094304833999255e+32,1.8116034066567782e+17,15835542.99572931,84.64018946600864,30.982433636178545,0.4,1.0
21,8.35410639299038e+30,2856484783.060411,2.7324213290163596e+32,1.808918940462139e+17,15826153.960712826,84.56497328450463,30.840018919068626,0.4,1.0
22,8.751920971770437e+30,2901703791.290758,2.8548478096318006e+32,1.8062830954784272e+17,15816926.415233131,84.49107814619657,30.700923581422686,0.4,1.0
23,9.149735550550494e+30,2945531809.020348,2.976720927423502e+32,1.8036940503994992e+17,15807854.255591813,84.41845603759411,30.565004775749042,0.4,1.0
24,9.54755012933055e+30,2988070055.0527406,3.098051595789023e+32,1.801149864556201e+17,15798930.972139938,84.34705522477788,30.432117182105763,0.4,1.0
25,9.945364708110607e+30,3029413184.472785,3.2188506393462336e+32,1.7986484779163683e+17,15790149.649278058,84.27682024346149,30.302113001634744,0.4,1.0
26,1.0343179286890664e+31,3069649288.6466208,3.3391287939333114e+32,1.7961877110848262e+17,15781502.965456212,84.20769188956325,30.174841948358573,0.4,1.0
27,1.074099386567072e+31,3108859895.221677,3.4588967066087436e+32,1.793765265303391e+17,15772983.193173923,84.13960721018269,30.050151240152964,0.4,1.0
28,1.1138808444450778e+31,3147119968.1266737,3.578164935651322e+32,1.791378722450868e+17,15764582.198980195,84.07249949487155,29.927885589805996,0.4,1.0
29,1.1536623023230835e+31,3184497907.571621,3.69694395056015e+32,1.789025545043052e+17,15756291.443473522,84.00629826707983,29.807887197074944,0.4,1.0
30,1.1934437602010892e+31,3221055550.047819,3.8152441320546406e+32,1.7867030762327296e+17,15748101.981301878,83.94092927565033,29.689995742659534,0.4,1.0
31,1.2332252180790949e+31,3256848168.3278575,3.9330757720745124e+32,1.7844085398096752e+17,15740004.461162724,83.87631448622793,29.574048385007984,0.4,1.0
32,1.2730066759571006e+31,3291924471.4656167,4.050449073779794e+32,1.782139040200654e+17,15731989.125803007,83.81237207244105,29.45987976087972,0.4,1.0
33,1.3127881338351063e+31,3326326604.7962675,4.167374151550821e+32,1.779891562469422e+17,15724045.812019154,83.74901640670683,29.347321990592885,0.4,1.0
34,1.352569591713112e+31,3360090149.93627,4.2838610309882396e+32,1.7776629723167235e+17,15716163.950657085,83.68615805050155,29.236204688887067,0.4,1.0
35,1.3923510495911177e+31,3393244124.783376,4.399919648913002e+32,1.7754500160802938e+17,15708332.566612193,83.62370374393242,29.126354982335137,0.4,1.0
36,1.4321325074691234e+31,3425810983.5166254,4.515559853366371e+32,1.7732493207348576e+17,15700540.278829366,83.561556394437,29.01759753424259,0.4,1.0
37,1.471913965347129e+31,3457816534.9886856,4.630785083401209e+32,1.771062389253876e+17,15692792.246931298,83.49976029996435,28.909992879367856,0.4,1.0
38,1.5116954232251348e+31,3489289475.7461963,4.745592795565283e+32,1.7688946363179648e+17,15685106.876554368,83.43847388948922,28.803785900256187,0.4,1.0
39,1.5514768811031405e+31,3520246083.7120013,4.85998701180602e+32,1.7667458154765773e+17,15677483.352890823,83.37769136036339,28.698949228566097,0.4,1.0
40,1.5912583389811462e+31,3550702196.8113856,4.9739717821102274e+32,1.764615635399433e+17,15669920.708850184,83.31740556546808,28.595453893590555,0.4,1.0
41,1.6310397968591519e+31,3580673298.551891,5.0875511323151246e+32,1.762503802577262e+17,15662417.969970962,83.25760925343359,28.493271356515976,0.4,1.0
