logT,-8,-7.5,-7,-6.5,-6,-5.5,-5,-4.5,-4,-3.5,-3,-2.5,-2,-1.5,-1,-0.5,0,0.5,1
5.25,-0.468521083,-0.099,-0.025,0.059,0.162,0.29,0.45,0.647,0.891,1.195,1.568,1.991,2.431,2.845,3.194,3.495,3.771,4.009,4.189
5.3,-0.468521083,-0.178,-0.081,0.027,0.146,0.293,0.479,0.698,0.946,1.237,1.586,1.984,2.399,2.778,3.088,3.355,3.614,3.852,4.041
5.35,-0.468521083,-0.273,-0.186,-0.069,0.076,0.248,0.452,0.692,0.96,1.251,1.581,1.957,2.349,2.699,2.979,3.22,3.464,3.698,3.901
5.4,-0.468521083,-0.355,-0.287,-0.188,-0.051,0.136,0.368,0.635,0.927,1.235,1.561,1.916,2.284,2.612,2.872,3.094,3.326,3.554,3.9
5.45,-0.468521083,-0.412,-0.367,-0.291,-0.174,-0.006,0.227,0.521,0.846,1.181,1.523,1.868,2.214,2.524,2.769,2.977,3.198,3.424,3.9
5.5,-0.468521083,-0.439,-0.413,-0.366,-0.282,-0.139,0.076,0.372,0.729,1.103,1.467,1.816,2.148,2.441,2.671,2.872,3.082,3.308,3.9
5.55,-0.468521083,-0.453,-0.438,-0.409,-0.353,-0.248,-0.061,0.223,0.596,1.008,1.402,1.76,2.086,2.365,2.583,2.775,2.98,3.3,3.9
5.6,-0.468521083,-0.458,-0.449,-0.431,-0.395,-0.319,-0.172,0.086,0.464,0.904,1.33,1.703,2.025,2.294,2.503,2.69,2.89,3.3,3.9
5.65,-0.468521083,-0.46,-0.455,-0.443,-0.418,-0.365,-0.252,-0.032,0.331,0.793,1.251,1.645,1.967,2.228,2.432,2.616,2.81,3.3,3.9
5.7,-0.468521083,-0.462,-0.457,-0.448,-0.429,-0.391,-0.307,-0.128,0.203,0.671,1.163,1.581,1.909,2.166,2.367,2.551,2.81,3.3,3.9
5.75,-0.468521083,-0.463,-0.459,-0.451,-0.437,-0.407,-0.341,-0.2,0.085,0.537,1.057,1.506,1.846,2.105,2.307,2.49,2.81,3.3,3.9
5.8,-0.468521083,-0.464,-0.46,-0.453,-0.44,-0.414,-0.36,-0.244,-0.004,0.411,0.937,1.417,1.777,2.04,2.248,2.435,2.81,3.3,3.9
5.85,-0.468521083,-0.464,-0.461,-0.454,-0.442,-0.418,-0.372,-0.271,-0.066,0.307,0.818,1.319,1.701,1.975,2.19,2.384,2.81,3.3,3.9
5.9,-0.468521083,-0.463,-0.46,-0.455,-0.443,-0.422,-0.378,-0.288,-0.105,0.229,0.715,1.222,1.625,1.912,2.136,2.335,2.81,3.3,3.9
5.95,-0.468521083,-0.461,-0.458,-0.453,-0.443,-0.423,-0.383,-0.298,-0.13,0.175,0.63,1.134,1.552,1.855,2.088,2.294,2.81,3.3,3.9
6,-0.468521083,-0.459,-0.455,-0.449,-0.439,-0.421,-0.383,-0.303,-0.145,0.139,0.566,1.057,1.485,1.804,2.049,2.259,2.81,3.3,3.9
6.1,-0.468521083,-0.458,-0.45,-0.44,-0.426,-0.405,-0.37,-0.3,-0.159,0.101,0.489,0.946,1.377,1.723,1.986,2.185,2.81,3.3,3.9
6.2,-0.468521083,-0.466,-0.461,-0.449,-0.428,-0.394,-0.347,-0.273,-0.146,0.085,0.449,0.885,1.304,1.651,1.898,2.077,2.81,3.3,3.9
6.3,-0.468521083,-0.469,-0.467,-0.463,-0.452,-0.425,-0.368,-0.267,-0.115,0.111,0.442,0.851,1.245,1.554,1.756,1.909,2.81,3.3,3.9
6.4,-0.468521083,-0.47,-0.469,-0.467,-0.461,-0.448,-0.415,-0.331,-0.154,0.118,0.457,0.828,1.167,1.411,1.576,1.711,2.81,3.3,3.9
6.5,-0.468521083,-0.471,-0.471,-0.469,-0.465,-0.457,-0.436,-0.381,-0.248,0.022,0.388,0.742,1.026,1.228,1.37,1.548,2.81,3.3,3.9
6.6,-0.468521083,-0.472,-0.472,-0.47,-0.468,-0.462,-0.447,-0.406,-0.307,-0.099,0.231,0.57,0.831,1.016,1.167,1.367,2.81,3.3,3.9
6.7,-0.468521083,-0.473,-0.473,-0.472,-0.47,-0.466,-0.455,-0.425,-0.35,-0.188,0.08,0.379,0.621,0.8,0.966,1.197,2.81,3.3,3.9
6.8,-0.468521083,-0.473,-0.473,-0.473,-0.471,-0.469,-0.461,-0.44,-0.385,-0.263,-0.054,0.197,0.416,0.597,0.784,1.033,2.81,3.3,3.9
6.9,-0.468521083,-0.475,-0.474,-0.473,-0.472,-0.47,-0.464,-0.449,-0.41,-0.322,-0.163,0.04,0.239,0.429,0.639,0.926,2.81,3.3,3.9
7,-0.468521083,-0.477,-0.476,-0.475,-0.473,-0.47,-0.464,-0.45,-0.42,-0.353,-0.233,-0.067,0.116,0.309,0.536,0.817,2.81,3.3,3.9
7.1,-0.468521083,-0.478,-0.478,-0.478,-0.476,-0.474,-0.466,-0.45,-0.418,-0.359,-0.26,-0.119,0.046,0.227,0.442,0.711,2.81,3.3,3.9
7.2,-0.468521083,-0.481,-0.481,-0.48,-0.48,-0.478,-0.472,-0.457,-0.423,-0.361,-0.267,-0.142,-0.003,0.147,0.344,0.592,2.81,3.3,3.9
